"","INDINF_CPI_M","INDINF_LOWTARGET","INDINF_UPPTARGET","Volume","Monthly_Change","INDINF_CPI_COMMON_M","INDINF_CPI_MEDIAN_M","INDINF_CPI_TRIM_M"
"265",0.015,0.01,0.03,571902110000,-0.00761628263137437,0.016,0.017,0.017
"266",0.01,0.01,0.03,517852870000,0.00280880839108799,0.017,0.018,0.017
"267",0.01,0.01,0.03,429326370000,0.0382185439738305,0.017,0.017,0.016
"268",0.012,0.01,0.03,447933830000,-0.0217863254792366,0.016,0.017,0.016
"269",0.008,0.01,0.03,377236830000,0.0216139414154062,0.016,0.016,0.014
"270",0.009,0.01,0.03,348302320000,-0.0138198555617589,0.016,0.016,0.015
"271",0.01,0.01,0.03,372588930000,-0.0306911380635693,0.016,0.016,0.014
"272",0.013,0.01,0.03,380447690000,-0.00583368824511077,0.016,0.018,0.016
"273",0.013,0.01,0.03,420726400000,-0.0421125186982668,0.016,0.018,0.016
"274",0.01,0.01,0.03,445753270000,-0.0398366145403466,0.016,0.017,0.016
"275",0.01,0.01,0.03,483951570000,0.0166979931614939,0.017,0.018,0.017
"276",0.014,0.01,0.03,401350450000,-0.0043905322667892,0.017,0.019,0.018
"277",0.016,0.01,0.03,449547530000,-0.0341356079270995,0.016,0.02,0.018
"278",0.02,0.01,0.03,512964440000,-0.0144427664104534,0.016,0.02,0.018
"279",0.014,0.01,0.03,555351040000,0.00298709128519903,0.016,0.02,0.018
"280",0.013,0.01,0.03,611536450000,0.0492986206279928,0.017,0.021,0.019
"281",0.017,0.01,0.03,494342440000,0.0338732804537845,0.016,0.022,0.02
"282",0.015,0.01,0.03,474212860000,0.0081926534781207,0.016,0.022,0.02
"283",0.015,0.01,0.03,523527460000,-9.24088937721557e-05,0.016,0.022,0.02
"284",0.013,0.01,0.03,387276020000,0.036844551530449,0.015,0.02,0.019
"285",0.011,0.01,0.03,380788500000,0.00104917503585833,0.015,0.02,0.019
"286",0.013,0.01,0.03,438826330000,0.00876150095903538,0.014,0.021,0.019
"287",0.015,0.01,0.03,395069740000,0.00416948453878763,0.014,0.021,0.018
"288",0.012,0.01,0.03,498469580000,0.0199901665549547,0.012,0.019,0.016
"289",0.015,0.01,0.03,447275720000,0.0135716084236785,0.013,0.019,0.016
"290",0.021,0.01,0.03,433402970000,0.00643661487196923,0.012,0.019,0.016
"291",0.02,0.01,0.03,440214070000,0.000857935460808479,0.012,0.018,0.015
"292",0.016,0.01,0.03,523648580000,0.00964982649217405,0.012,0.016,0.014
"293",0.016,0.01,0.03,393395630000,0.00246335844816348,0.013,0.015,0.014
"294",0.013,0.01,0.03,455202150000,-0.0151544789219499,0.012,0.014,0.012
"295",0.01,0.01,0.03,504494560000,-0.0109251650973792,0.013,0.015,0.012
"296",0.012,0.01,0.03,305709970000,-0.00252267810383722,0.014,0.016,0.013
"297",0.014,0.01,0.03,336966960000,0.00449025668713543,0.014,0.016,0.014
"298",0.016,0.01,0.03,3.87006e+11,0.027807176560942,0.015,0.016,0.014
"299",0.014,0.01,0.03,348276310000,0.0249889163492785,0.015,0.015,0.014
"300",0.021,0.01,0.03,388887860000,0.00261459115554508,0.015,0.017,0.017
"301",0.019,0.01,0.03,350117610000,0.00881279657694112,0.016,0.017,0.018
"302",0.017,0.01,0.03,463589030000,-0.0158799328901084,0.017,0.017,0.018
"303",0.022,0.01,0.03,444900920000,-0.0319088243746923,0.018,0.019,0.02
